Commodity,Current_Price,Weekly_Avg,Price_Change_%,Volatility,Recommendation,Reason
Nashpati(Pear),5000.0,7428.571428571428,-32.69230769230769,1.3115814226925337,BUY,Price 32.7% below weekly average
Teisel Gourd(Boda Kakarakaya),11000.0,16357.142857142857,-32.751091703056765,0.28346136864552607,BUY,Price 32.8% below weekly average
Chillies(Dry),9625.0,14528.57142857143,-33.75122910521141,0.43998589185995945,BUY,Price 33.8% below weekly average
Groundnut pods,3639.5,5611.428571428572,-35.141293279022406,0.36435286271058587,BUY,Price 35.1% below weekly average
Pomegrenates,6500.0,10042.857142857143,-35.2773826458037,3.205113833671215,BUY,Price 35.3% below weekly average
Cabbage,1281.25,2000.0,-35.9375,0.33276425748184435,BUY,Price 35.9% below weekly average
Mango,1100.0,1771.4285714285713,-37.90322580645161,1.8233108338108712,BUY,Price 37.9% below weekly average
Cauliflower,2491.6666666666665,4392.857142857143,-43.27913279132792,0.40582290949105376,BUY,Price 43.3% below weekly average
Lemon,725.0,1334.2857142857142,-45.66381156316916,1.6855177102100043,BUY,Price 45.7% below weekly average
Musk Melon,600.0,1226.7142857142858,-51.08885524630256,1.0144094264622374,BUY,Price 51.1% below weekly average
Cattle(All),15000.0,32142.85714285714,-53.333333333333336,1.398809523809524,BUY,Price 53.3% below weekly average
Pine apple,800.0,3142.8571428571427,-74.54545454545455,3.1792792792792794,BUY,Price 74.5% below weekly average
